id,name,genres,popularity,followers,image_url,url
0Cav8jyZKAHMFbAusOmjku,Christina Grimmie,"['post-teen pop', 'viral pop']",45,467250,https://i.scdn.co/image/ab6761610000e5ebfadac57d3f419f6bc427a989,https://open.spotify.com/artist/0Cav8jyZKAHMFbAusOmjku
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,"['alt z', 'electropop', 'pop']",67,2268009,https://i.scdn.co/image/ab6761610000e5ebf7f92c35d54d37bf8a0a4ca1,https://open.spotify.com/artist/3gIRvgZssIb9aiirIg0nI3
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,['electro house'],80,38976832,https://i.scdn.co/image/ab6761610000e5ebbf753c009fd9c2d53351dd3c,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"['dance pop', 'pop', 'uk pop']",89,44097261,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we
57LYzLEk2LcFghVwuWbcuS,Summer Walker,"['r&b', 'rap']",79,6609513,https://i.scdn.co/image/ab6761610000e5ebfade412170364e8067c9df7a,https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS
2wY79sveU1sp5g7SokKOiI,Sam Smith,"['pop', 'uk pop']",82,24002737,https://i.scdn.co/image/ab6761610000e5ebf057d1dce23e7f4d5d0f32e5,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
2oie78nJWGLQIP8xQw0AlZ,Anton Sings,[],7,1164,https://i.scdn.co/image/ab6761610000e5eb4dfaad576ac392f8fdcb86bc,https://open.spotify.com/artist/2oie78nJWGLQIP8xQw0AlZ
0LmXoyW6K4zJ48lCRq7w3h,Built By Titan,['cedm'],36,23896,https://i.scdn.co/image/ab6761610000e5ebc8290233734f4c6c68cc6b33,https://open.spotify.com/artist/0LmXoyW6K4zJ48lCRq7w3h
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"['dance pop', 'pop']",80,9270825,https://i.scdn.co/image/ab6761610000e5ebead1540fa76796266fadba33,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,"['pop rap', 'seattle hip hop']",78,2354113,https://i.scdn.co/image/ab6761610000e5eb488b3b242f97163a7f8e17b9,https://open.spotify.com/artist/3JhNCzhSMTxs9WLGJJxWOY
2nDC4PH8XE1gHeeAxVLXRO,KATIE,['korean r&b'],41,240117,https://i.scdn.co/image/ab6761610000e5eb3fc6abe88d7d53e089451a1d,https://open.spotify.com/artist/2nDC4PH8XE1gHeeAxVLXRO
54OEro9sWZ3mVfMdlz2CIt,Royal Deluxe,['rebel blues'],49,128384,https://i.scdn.co/image/ab6761610000e5eb831d9f433c65504be804f41e,https://open.spotify.com/artist/54OEro9sWZ3mVfMdlz2CIt
5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']",74,6412020,https://i.scdn.co/image/ab6761610000e5eb1e7f796a17c2dc3c28bdeeb9,https://open.spotify.com/artist/5t28BP42x2axFnqOOMg3CM
1Q50Y9cXWlkNEG6gJfUP1e,DEAMN,['pop edm'],44,77093,https://i.scdn.co/image/ab6761610000e5ebed433596f7883a9d5213c9c3,https://open.spotify.com/artist/1Q50Y9cXWlkNEG6gJfUP1e
7550GgwXdU6smKQ2PUYi9N,Lemon Fight,[],32,5701,https://i.scdn.co/image/ab6761610000e5eba6be86f3025e870500abfd52,https://open.spotify.com/artist/7550GgwXdU6smKQ2PUYi9N
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']",72,11811756,https://i.scdn.co/image/ab6761610000e5eb6cde43f126518af0ef8eddc2,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR
0MeLMJJcouYXCymQSHPn8g,Sleeping At Last,"['ambient worship', 'chamber pop']",67,1464840,https://i.scdn.co/image/ab6761610000e5eb4a32bec7d51c0ca91969987e,https://open.spotify.com/artist/0MeLMJJcouYXCymQSHPn8g
23fqKkggKUBHNkbKtXEls4,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",81,8399892,https://i.scdn.co/image/ab6761610000e5ebe5ea1aa1404629c12ad86658,https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,"['pop', 'post-teen pop']",81,50626490,https://i.scdn.co/image/ab6761610000e5ebc3c753851496854e29abff7a,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx
2FsZnS8gQ8jG1HGnPYNlm9,Jamie N Commons,['modern blues rock'],52,85731,https://i.scdn.co/image/ab67616100005174571c849e3f85123e83706a3a,https://open.spotify.com/artist/2FsZnS8gQ8jG1HGnPYNlm9
7z2avKuuiMAT4XZJFv8Rvh,Tom Walker,"['indie anthem-folk', 'uk pop']",64,1221281,https://i.scdn.co/image/ab6761610000e5ebc2384c86f647f1d9ae9fb3ed,https://open.spotify.com/artist/7z2avKuuiMAT4XZJFv8Rvh
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'permanent wave', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock']",63,1759408,https://i.scdn.co/image/ab6761610000e5eb997116abcd93201746831544,https://open.spotify.com/artist/7C4sUpWGlTy7IANjruj02I
7d5SfGXKpgS3JK8BFIq59h,William Black,"['melodic dubstep', 'pop edm']",53,111450,https://i.scdn.co/image/ab6761610000e5eb7af6c4b002b61928edd094d0,https://open.spotify.com/artist/7d5SfGXKpgS3JK8BFIq59h
4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']",63,1103851,https://i.scdn.co/image/ab6761610000e5eb6554f29133d7e27979e009d7,https://open.spotify.com/artist/4M5nCE77Qaxayuhp3fVn4V
6J4zegMTYP4nGJSpSDvy49,Rain Man,['pop edm'],38,29394,https://i.scdn.co/image/ab6761610000e5eb6a36b44c79bb4aa566e3a958,https://open.spotify.com/artist/6J4zegMTYP4nGJSpSDvy49
21E3waRsmPlU7jZsS13rcj,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",81,8977722,https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537,https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj
6LuN9FCkKOj5PcnpouEgny,Khalid,"['pop', 'pop r&b']",84,16244504,https://i.scdn.co/image/ab6761610000e5eb24ff450c42d4e36fb34a7631,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,['pop'],61,10041513,https://i.scdn.co/image/ab6761610000e5eb4b2a3fffa1076ea1c920dcb2,https://open.spotify.com/artist/5pUo3fmmHT8bhCyHE52hA6
3cjEqqelV9zb4BYE3qDQ4O,EXO,"['k-pop', 'k-pop boy group']",68,9434711,https://i.scdn.co/image/ab6761610000e5ebaf3c4b988a6fef40843cdc83,https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,"['boy band', 'pop']",74,7653981,https://i.scdn.co/image/ab6761610000e5ebab4364d80728df548a4f7d77,https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,"['contemporary country', 'country', 'country road']",70,3176487,https://i.scdn.co/image/ab6761610000e5eb2447af13925471ebb858bfe1,https://open.spotify.com/artist/7z5WFjZAIYejWy0NI5lv4T
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",81,8673618,https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428,https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs
790FomKkXshlbRYZFtlgla,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",91,48649552,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,"['indie pop rap', 'pop rap', 'rhode island rap']",61,753213,https://i.scdn.co/image/ab6761610000e5ebfc992fcd4e92e84dbdd28d91,https://open.spotify.com/artist/0vRvGUQVUjytro0xpb26bs
0PGtMx1bsqoCHCy3MB3gXA,Unk,"['atl hip hop', 'dirty south rap']",44,226233,https://i.scdn.co/image/2044bdce36bb667a0a6008ba8046d6b98858acf6,https://open.spotify.com/artist/0PGtMx1bsqoCHCy3MB3gXA
1RyvyyTE3xzB2ZywiAwp0i,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",91,17749328,https://i.scdn.co/image/ab6761610000e5eb6ef89e23678018c6d8630825,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"['rap', 'slap house']",93,31012458,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,"['disco', 'mellow gold', 'soft rock']",77,7939496,https://i.scdn.co/image/1d5a05673975ba0c378cd280344e000b0b865620,https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN
2aS6jYh7ysTL1ZUsHneNgM,Berlin,"['new romantic', 'new wave pop', 'synthpop']",63,562146,https://i.scdn.co/image/ab6761610000e5ebfba07dbdca45039f9d20e5bb,https://open.spotify.com/artist/2aS6jYh7ysTL1ZUsHneNgM
5eYDJJfPXinVZq2mXleOSW,Fito Blanko,"['canadian latin', 'electro bailando', 'panamanian pop']",44,12853,https://i.scdn.co/image/ab6761610000e5eba78070f399152a844967f6c0,https://open.spotify.com/artist/5eYDJJfPXinVZq2mXleOSW
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",73,5378908,https://i.scdn.co/image/cf79bd3e5c787e2ec152eeb1ea5538b0d4cf1434,https://open.spotify.com/artist/3koiLjNrgRTNbOwViDipeA
4TrraAsitQKl821DQY42cZ,Sigrid,"['electropop', 'norwegian pop']",59,702596,https://i.scdn.co/image/ab6761610000e5eb9cde2d330e957562aac497e0,https://open.spotify.com/artist/4TrraAsitQKl821DQY42cZ
1R6Hx1tJ2VOUyodEpC12xM,Jim Croce,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",69,1445597,https://i.scdn.co/image/9f9b40704e3361c93ea8a8b7a86a5d9ee755466e,https://open.spotify.com/artist/1R6Hx1tJ2VOUyodEpC12xM
1AT64PJc0geIUwVRqYqkTu,Axol,['gaming edm'],38,16822,https://i.scdn.co/image/ab6761610000e5eb533fd9df5e54034a25ad8689,https://open.spotify.com/artist/1AT64PJc0geIUwVRqYqkTu
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire","['disco', 'funk', 'jazz funk', 'motown', 'soul']",74,4326090,https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92,https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg
