id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0HfyzElRYxa3T29SAuPx9o,0.629,0.613,2,-7.454,1,0.188,0.136,1.29e-05,0.0713,0.543,84.887,235333
6tNgjrWXWHx2zR52Q6qCLG,0.46,0.0834,2,-15.095,1,0.0433,0.909,1.98e-05,0.112,0.21,98.329,219173
4n7jnSxVLd8QioibtTDBDq,0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087,193798
5600nq7TiBraBX2jobyJ3l,0.588,0.821,5,-6.54,0,0.216,0.00579,0.000275,0.208,0.509,188.098,182075
0mfCH4nfpshBQR9ueZP5eP,0.656,0.432,6,-9.481,0,0.217,0.443,0.0,0.132,0.0897,97.022,222374
6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,8,-7.513,1,0.0656,0.447,1.97e-06,0.222,0.347,102.998,171030
2MITTADLbJDXzkH9UohvP7,0.616,0.714,6,-5.335,0,0.133,0.103,1.02e-05,0.0794,0.592,168.887,257280
2dNd2SIsf2G9yZJKUvk8jZ,0.504,0.826,10,-3.105,1,0.0816,0.217,0.000359,0.0899,0.348,104.498,254247
7iDa6hUg2VgEL1o1HjmfBn,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,163870
0CokSRCu5hZgPxcZBaEzVE,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454
0GIsLh8ly8RuFc2pZshRPl,0.416,0.569,11,-7.239,0,0.0557,0.522,0.0,0.0822,0.433,110.023,186052
6aEr8EEBdNItmHTrrPrdGn,0.581,0.485,4,-7.95,1,0.0439,0.0767,0.00439,0.139,0.349,145.127,216307
1nemRFgJG6WIAtNwKArjXt,0.509,0.843,7,-5.628,1,0.0275,0.00104,1.21e-05,0.0882,0.479,156.073,274615
0ez8HT7qqmwMd9wY7PUAuW,0.679,0.744,1,-3.879,1,0.0305,0.446,3.42e-06,0.0834,0.523,117.994,191186
79SU8rsUC53dfmr6uwd5Xf,0.499,0.864,0,-4.929,1,0.111,0.213,7.4e-06,0.0908,0.221,150.014,193600
42ydLwx4i5V49RXHOozJZq,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,230227
2kfGoV9a5dbSKCNmUWH2ZF,0.307,0.371,3,-8.498,1,0.0288,0.923,0.0253,0.11,0.189,115.241,255893
0kHyKhJMukHEPfeh8s7rdM,0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,193321
0tBbt8CrmxbjRP0pueQkyU,0.725,0.804,11,-4.614,0,0.0422,0.124,0.0,0.204,0.31,124.996,197993
