artist,release_date,added_at,track_name,duration_ms,track_id,artist_id
Christina Grimmie,2016-02-21,2019-06-25T04:30:03Z,Without Him,235333,0HfyzElRYxa3T29SAuPx9o,0Cav8jyZKAHMFbAusOmjku
Jeremy Zucker,2019-04-19,2019-06-25T04:30:03Z,you were good to me,219173,6tNgjrWXWHx2zR52Q6qCLG,3gIRvgZssIb9aiirIg0nI3
Alan Walker,2019-03-21,2019-06-25T04:30:03Z,On My Way,193797,4n7jnSxVLd8QioibtTDBDq,7vk5e3vY1uw9plTHJAMwjN
Dua Lipa,2019-01-24,2019-06-25T04:30:03Z,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",182074,5600nq7TiBraBX2jobyJ3l,6M2wZ9GZgrQXHCFfjv46we
Summer Walker,2019-02-10,2019-06-25T04:30:03Z,Girls Need Love (with Drake) - Remix,222374,0mfCH4nfpshBQR9ueZP5eP,57LYzLEk2LcFghVwuWbcuS
Sam Smith,2019-01-11,2019-06-25T04:30:03Z,Dancing With A Stranger (with Normani),171029,6Qs4SXO9dwPj5GKvVOv8Ki,2wY79sveU1sp5g7SokKOiI
Anton Sings,2018-05-11,2019-06-25T04:30:03Z,I Messed Up,257279,2MITTADLbJDXzkH9UohvP7,2oie78nJWGLQIP8xQw0AlZ
Built By Titan,2018-03-02,2019-06-25T04:30:03Z,Dragon (feat. Skybourne),254246,2dNd2SIsf2G9yZJKUvk8jZ,0LmXoyW6K4zJ48lCRq7w3h
Bebe Rexha,2017-08-11,2019-06-25T04:30:03Z,Meant to Be (feat. Florida Georgia Line),163870,7iDa6hUg2VgEL1o1HjmfBn,64M6ah0SkkRsnPGtGiRAbb
Macklemore,2017-09-22,2019-06-25T04:30:03Z,Glorious (feat. Skylar Grey),220454,0CokSRCu5hZgPxcZBaEzVE,3JhNCzhSMTxs9WLGJJxWOY
KATIE,2018-06-06,2019-06-25T04:30:03Z,Remember,186052,0GIsLh8ly8RuFc2pZshRPl,2nDC4PH8XE1gHeeAxVLXRO
Royal Deluxe,2016-02-23,2019-06-25T04:30:03Z,The Payoff,216306,6aEr8EEBdNItmHTrrPrdGn,54OEro9sWZ3mVfMdlz2CIt
Five Finger Death Punch,2018-05-18,2019-06-25T04:30:03Z,Blue On Black,274615,1nemRFgJG6WIAtNwKArjXt,5t28BP42x2axFnqOOMg3CM
DEAMN,2017-10-11,2019-06-25T04:30:03Z,Rendezvous,191186,0ez8HT7qqmwMd9wY7PUAuW,1Q50Y9cXWlkNEG6gJfUP1e
Lemon Fight,2018-03-16,2019-06-25T04:30:03Z,Stronger,193600,79SU8rsUC53dfmr6uwd5Xf,7550GgwXdU6smKQ2PUYi9N
Alessia Cara,2016-03-11,2019-06-25T04:30:03Z,Scars To Your Beautiful,230226,42ydLwx4i5V49RXHOozJZq,2wUjUUtkb5lvLKcGKsKqsR
Sleeping At Last,2012-06-18,2019-06-25T04:30:03Z,Turning Page,255893,2kfGoV9a5dbSKCNmUWH2ZF,0MeLMJJcouYXCymQSHPn8g
Kygo,2018-06-15,2019-06-25T04:30:03Z,Born To Be Yours,193320,0kHyKhJMukHEPfeh8s7rdM,23fqKkggKUBHNkbKtXEls4
Selena Gomez,2017-10-25,2019-06-25T04:30:03Z,Wolves,197993,0tBbt8CrmxbjRP0pueQkyU,0C8ZW7ezQVs4URX5aX7Kqx
Sam Smith,2018-12-21,2019-06-25T04:30:03Z,"Fire On Fire - From ""Watership Down""",246735,5rFj8OzffT0iggSjcBaeND,2wY79sveU1sp5g7SokKOiI
