artist_id,name,genres,popularity,followers,image_url,url
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,"['v-pop', 'vietnamese idol pop', 'vietnamese melodic rap']",65,5555472,https://i.scdn.co/image/ab6761610000e5eb5a79a6ca8c60e4ec1440be53,https://open.spotify.com/artist/5dfZ5uSmzR7VQK0udbAVpf
7yquVKfxBuNFJbG9cy2R8A,Vũ Cát Tường,['v-pop'],54,632754,https://i.scdn.co/image/ab6761610000e5ebe0e7dda97f41aae140ac029d,https://open.spotify.com/artist/7yquVKfxBuNFJbG9cy2R8A
5Kh0ta0UY4uJ4g2CIdq9V9,Phương Ly,['v-pop'],55,502905,https://i.scdn.co/image/ab6761610000e5eb98e5b6fa1349f9b48129ce98,https://open.spotify.com/artist/5Kh0ta0UY4uJ4g2CIdq9V9
4x1fUORHa2EsxrQ6ZzAoQ0,SUNI Hạ Linh,['v-pop'],51,291899,https://i.scdn.co/image/ab6761610000e5ebad1569e5633b6b9b2e3cc27b,https://open.spotify.com/artist/4x1fUORHa2EsxrQ6ZzAoQ0
75Ki5hBCOpDtKGoFyTvLxP,Lou Hoàng,['v-pop'],57,403426,https://i.scdn.co/image/ab6761610000e5eb1ecb294a0e1b2749d648f555,https://open.spotify.com/artist/75Ki5hBCOpDtKGoFyTvLxP
3E6LGptA8lBEXPHAQCE3vr,Kai Đinh,"['v-pop', 'viet lo-fi']",55,63445,https://i.scdn.co/image/ab6761610000e5eb0e9332b18b3214c0295385a4,https://open.spotify.com/artist/3E6LGptA8lBEXPHAQCE3vr
0gGd4WhPXBSgDX6fdOHcOw,Rhymastic,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",54,656124,https://i.scdn.co/image/ab6761610000e5eb0e62e694576ab6f8e56db3d8,https://open.spotify.com/artist/0gGd4WhPXBSgDX6fdOHcOw
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",60,451085,https://i.scdn.co/image/ab6761610000e5eb10e658dffbc09c792ad3969c,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
57g2v7gJZepcwsuwssIfZs,Vũ.,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",59,2030557,https://i.scdn.co/image/ab6761610000e5eb05dfcbe06dcf1fd031b02aa8,https://open.spotify.com/artist/57g2v7gJZepcwsuwssIfZs
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",60,451085,https://i.scdn.co/image/ab6761610000e5eb10e658dffbc09c792ad3969c,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,"['v-pop', 'vietnamese idol pop', 'vietnamese melodic rap']",65,5555472,https://i.scdn.co/image/ab6761610000e5eb5a79a6ca8c60e4ec1440be53,https://open.spotify.com/artist/5dfZ5uSmzR7VQK0udbAVpf
0ZbgKh0FgPYeFP38nVaEGp,Obito,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",61,591442,https://i.scdn.co/image/ab6761610000e5eba385bd3e0f67945f277792c2,https://open.spotify.com/artist/0ZbgKh0FgPYeFP38nVaEGp
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),"['v-pop', 'vietnamese hip hop']",52,157075,https://i.scdn.co/image/ab6761610000e5eb92dc4a2cbffbddb59f825fe0,https://open.spotify.com/artist/4bPYvyUn1mWwUwIW57oST2
57g2v7gJZepcwsuwssIfZs,Vũ.,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",59,2030557,https://i.scdn.co/image/ab6761610000e5eb05dfcbe06dcf1fd031b02aa8,https://open.spotify.com/artist/57g2v7gJZepcwsuwssIfZs
22MX8BG5870DGzpNricY7q,VSOUL,"['vietnamese hip hop', 'vietnamese melodic rap']",50,117968,https://i.scdn.co/image/ab6761610000e5eba573a7f30ae3296818aeb51a,https://open.spotify.com/artist/22MX8BG5870DGzpNricY7q
70ULEgr5A3zBL12foM4bnj,Vũ Phụng Tiên,['v-pop'],49,30220,https://i.scdn.co/image/ab6761610000e5ebc5db34d157c879b2e627303c,https://open.spotify.com/artist/70ULEgr5A3zBL12foM4bnj
63SNH9m8M034lCGELVC1dm,Văn Mai Hương,['v-pop'],48,421018,https://i.scdn.co/image/ab6761610000e5eb449f96a16500b2b75e1c9234,https://open.spotify.com/artist/63SNH9m8M034lCGELVC1dm
5fa13NJjmn2uQ3dxZDi2Ge,Bích Phương,['v-pop'],48,1193948,https://i.scdn.co/image/ab6761610000e5eb69d78c2895772c42d400fd85,https://open.spotify.com/artist/5fa13NJjmn2uQ3dxZDi2Ge
6CGGvCBHWqQ4HXtn5aLhbh,SOOBIN,['v-pop'],58,869029,https://i.scdn.co/image/ab6761610000e5ebb9c9e23c646125922719489e,https://open.spotify.com/artist/6CGGvCBHWqQ4HXtn5aLhbh
1W2pigH6UYwuTuFbwoSfVZ,RHYDER,[],57,165658,https://i.scdn.co/image/ab6761610000e5eb7930fac4aae6d581d9f49e1b,https://open.spotify.com/artist/1W2pigH6UYwuTuFbwoSfVZ
6tWaQSIL7reD85PKStNk28,Kha,"['indie viet', 'v-pop']",47,156846,https://i.scdn.co/image/ab6761610000e5ebeb4429c5b5c581ae9e166954,https://open.spotify.com/artist/6tWaQSIL7reD85PKStNk28
30eFAXoU2kTjJPf2cq80B8,WEAN,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",54,256170,https://i.scdn.co/image/ab6761610000e5eb1e980099699211bd0dd694ad,https://open.spotify.com/artist/30eFAXoU2kTjJPf2cq80B8
05xxXziuRhVsmlSjTD4Soh,Kuun Đức Nam,['viet chill rap'],44,14163,https://i.scdn.co/image/ab6761610000e5eb154d9e66065cb34c7354adc3,https://open.spotify.com/artist/05xxXziuRhVsmlSjTD4Soh
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"['vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",61,992717,https://i.scdn.co/image/ab6761610000e5ebb97791c136d7354ad7792555,https://open.spotify.com/artist/1zSv9qZANOWB4HRE8sxeTL
5jTFNkoZebPnX90CbB3F2A,MONO,['v-pop'],47,800217,https://i.scdn.co/image/ab6761610000e5eb08b7a0d0eb811827b0af36e1,https://open.spotify.com/artist/5jTFNkoZebPnX90CbB3F2A
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,['pop'],90,10735962,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
3diftVOq7aEIebXKkC34oR,tlinh,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",63,986233,https://i.scdn.co/image/ab6761610000e5eb2bcb72091c46d935e195aa87,https://open.spotify.com/artist/3diftVOq7aEIebXKkC34oR
5zT1Ku9mzzl6RW5y4z0hUK,Minh Huy,['viet chill rap'],51,15572,https://i.scdn.co/image/ab6761610000e5eb30761b105223535d15ecd3e3,https://open.spotify.com/artist/5zT1Ku9mzzl6RW5y4z0hUK
6d0dLenjy5CnR5ZMn2agiV,GREY D,['v-pop'],61,327733,https://i.scdn.co/image/ab6761610000e5ebd23b0ac7f33678be5753e1f5,https://open.spotify.com/artist/6d0dLenjy5CnR5ZMn2agiV
1OIYKbmhG0RxPXvVPNj3NN,Madihu,"['indie viet', 'v-pop', 'vietnamese melodic rap']",51,225243,https://i.scdn.co/image/ab6761610000e5eb3bcc23d31e8962897b7d3e2c,https://open.spotify.com/artist/1OIYKbmhG0RxPXvVPNj3NN
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,"['indie viet', 'v-pop', 'vietnamese hip hop']",58,1014841,https://i.scdn.co/image/ab6761610000e5eb82055f0d7880dc8c73edc5a0,https://open.spotify.com/artist/6zUWZmyi5MLOEynQ5wCI5f
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",60,451085,https://i.scdn.co/image/ab6761610000e5eb10e658dffbc09c792ad3969c,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
36cgvBn0aadzOijnjjwqMN,ILLIT,['5th gen k-pop'],73,1261054,https://i.scdn.co/image/ab6761610000e5eb5884b5e3bdc71d42b62bfcfd,https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),"['v-pop', 'vietnamese hip hop']",52,157075,https://i.scdn.co/image/ab6761610000e5eb92dc4a2cbffbddb59f825fe0,https://open.spotify.com/artist/4bPYvyUn1mWwUwIW57oST2
2Bwp23pD4UVsSkchHDZw4F,Karik,"['v-pop', 'vietnamese hip hop']",53,387271,https://i.scdn.co/image/ab6761610000e5eb2ef6756afdf74f9b7e3a1861,https://open.spotify.com/artist/2Bwp23pD4UVsSkchHDZw4F
4APrfmUo8KRrjCVuyoKvwY,O.lew,['v-pop'],49,55974,https://i.scdn.co/image/ab6761610000e5ebd978a224ff14193a1912875f,https://open.spotify.com/artist/4APrfmUo8KRrjCVuyoKvwY
5FWPIKz9czXWaiNtw45KQs,Đức Phúc,['v-pop'],55,1163912,https://i.scdn.co/image/ab6761610000e5eb403dab9907f6639111bc7643,https://open.spotify.com/artist/5FWPIKz9czXWaiNtw45KQs
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",60,451085,https://i.scdn.co/image/ab6761610000e5eb10e658dffbc09c792ad3969c,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
6d0dLenjy5CnR5ZMn2agiV,GREY D,['v-pop'],61,327733,https://i.scdn.co/image/ab6761610000e5ebd23b0ac7f33678be5753e1f5,https://open.spotify.com/artist/6d0dLenjy5CnR5ZMn2agiV
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,"['indie viet', 'v-pop', 'vietnamese hip hop']",58,1014841,https://i.scdn.co/image/ab6761610000e5eb82055f0d7880dc8c73edc5a0,https://open.spotify.com/artist/6zUWZmyi5MLOEynQ5wCI5f
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,"['v-pop', 'vietnamese hip hop']",63,1352676,https://i.scdn.co/image/ab6761610000e5ebe1cbc9e7ba8fbc5d7738ea51,https://open.spotify.com/artist/5HZtdKfC4xU0wvhEyYDWiY
1zSv9qZANOWB4HRE8sxeTL,RPT MCK,"['vietnamese hip hop', 'vietnamese melodic rap', 'vietnamese trap']",61,992717,https://i.scdn.co/image/ab6761610000e5ebb97791c136d7354ad7792555,https://open.spotify.com/artist/1zSv9qZANOWB4HRE8sxeTL
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,"['v-pop', 'vietnamese hip hop']",63,1352676,https://i.scdn.co/image/ab6761610000e5ebe1cbc9e7ba8fbc5d7738ea51,https://open.spotify.com/artist/5HZtdKfC4xU0wvhEyYDWiY
0zo8kCJVktn7oPnzpkbC2p,14 Casper,"['v-pop', 'viet lo-fi']",49,52651,https://i.scdn.co/image/ab6761610000e5eb19170f64dff21076a7da4649,https://open.spotify.com/artist/0zo8kCJVktn7oPnzpkbC2p
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",60,451085,https://i.scdn.co/image/ab6761610000e5eb10e658dffbc09c792ad3969c,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
1y28JlO6rDMUB5rkcA4RAh,52Hz,['viet chill rap'],49,69175,https://i.scdn.co/image/ab6761610000e5ebc80eba75c788caffd20939a7,https://open.spotify.com/artist/1y28JlO6rDMUB5rkcA4RAh
6d0dLenjy5CnR5ZMn2agiV,GREY D,['v-pop'],61,327733,https://i.scdn.co/image/ab6761610000e5ebd23b0ac7f33678be5753e1f5,https://open.spotify.com/artist/6d0dLenjy5CnR5ZMn2agiV
2nSO7JYDbJrYbJmP39qUzj,Binz,"['v-pop', 'vietnamese hip hop']",54,1085864,https://i.scdn.co/image/ab6761610000e5ebcbc6b072aec429273fdbd53b,https://open.spotify.com/artist/2nSO7JYDbJrYbJmP39qUzj
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",93,86952576,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
3R80OE4RViOWbnuvqh0j8a,thủy,"['bedroom r&b', 'chill r&b']",60,342437,https://i.scdn.co/image/ab6761610000e5eb70a818d29a8cbf18fabf7631,https://open.spotify.com/artist/3R80OE4RViOWbnuvqh0j8a
05gnMS4p9RKXH3uS5q9qfP,Leah Marie Perez,[],42,6364,https://i.scdn.co/image/ab6761610000e5eb5f529085447af2479d0c6603,https://open.spotify.com/artist/05gnMS4p9RKXH3uS5q9qfP
48JtfAggQQpfUXQNxkGm5U,Dept,[],55,233617,https://i.scdn.co/image/ab6761610000e5eb58947c30d02180c5ec5c7389,https://open.spotify.com/artist/48JtfAggQQpfUXQNxkGm5U
