id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
31VNCmwspR7nVJ6kruUuJt,0.854,0.636,11,-7.972,1,0.0406,0.527,0.0,0.135,0.858,125.512,279208
2xOhv7XudrBDtkID1jwsFE,0.808,0.414,5,-10.95,1,0.038,0.864,0.000118,0.174,0.609,115.041,252500
6KgZf5gZgF1KLNxq1qZgHP,0.844,0.677,6,-5.958,1,0.0564,0.171,2.34e-05,0.387,0.791,111.006,188108
2qWP5ZarXRsdmxzz3L3BtP,0.421,0.568,5,-5.462,1,0.0588,0.758,0.00016,0.257,0.384,200.049,222000
3Alwi53Ahc2GwHgvel42b2,0.827,0.611,10,-5.989,1,0.0297,0.606,4.33e-06,0.104,0.716,107.993,220223
4NTanSVXBkQ2NmDEbr2vLE,0.686,0.656,5,-6.375,0,0.0562,0.612,5.45e-06,0.394,0.65,138.059,194704
6f7M5UzYYeLFCMIBQhxk2J,0.486,0.305,0,-11.067,1,0.0272,0.729,0.0,0.0857,0.37,100.045,139264
3un8UkiPHJjlsrTHQnisXH,0.768,0.325,7,-11.863,1,0.15,0.133,7.69e-06,0.174,0.525,76.975,174545
1bG6Q8sR8jda7ryI365y8o,0.535,0.661,0,-7.797,1,0.0314,0.716,2.23e-05,0.125,0.337,135.054,236263
4oGgxjxVOI69h9uOpHOzwn,0.812,0.449,6,-9.165,1,0.293,0.101,7.77e-05,0.103,0.514,94.937,159164
3qhYidu0cemx1v9PgTtpS5,0.694,0.556,0,-7.097,1,0.0805,0.787,0.00688,0.115,0.485,145.954,249872
0SLhB9JLM4Ksz1XdwK3aQD,0.768,0.368,11,-13.274,0,0.047,0.329,0.105,0.284,0.365,107.998,165556
4CUvVaAYuXtvYURLFz7EIL,0.517,0.467,0,-7.222,1,0.0442,0.724,0.0,0.0908,0.453,199.815,208049
2ddbldKhKrYvOBbYa87cbj,0.487,0.371,2,-9.73,1,0.0306,0.595,4.11e-06,0.126,0.17,135.865,288380
1khMN4Adfi3LrZvxOq4YM5,0.548,0.611,5,-8.065,0,0.0837,0.266,0.0,0.174,0.401,79.837,291750
2JuHIbFudHwDqQssgqsH3i,0.771,0.438,3,-10.909,0,0.0745,0.794,0.0454,0.112,0.622,94.997,200842
05X3a0YGmS1rbH50aL8lGF,0.452,0.415,6,-6.667,1,0.0392,0.807,0.0,0.114,0.241,125.935,321905
4PCh6DAkUYKnEmvjV4ouOs,0.855,0.546,11,-7.492,0,0.0324,0.751,0.0111,0.104,0.463,107.983,185278
1LxaXT8hwdBWSNpOqTjF8R,0.748,0.474,7,-11.228,0,0.0354,0.206,9.43e-05,0.0832,0.446,124.976,223200
3ZbZtdEw9U0uZW4tZItIwq,0.604,0.737,10,-6.575,0,0.0372,0.16,0.0,0.115,0.36,154.173,181558
3A9A7mfVDVm3rrS9SMGhg5,0.695,0.44,6,-8.482,1,0.0332,0.678,0.00137,0.103,0.225,115.009,354783
