artist,release_date,added_at,track_name,duration_ms,track_id,artist_id
Sơn Tùng M-TP,2024-06-08,2024-07-18T04:36:15Z,Đừng Làm Trái Tim Anh Đau,279208,31VNCmwspR7nVJ6kruUuJt,5dfZ5uSmzR7VQK0udbAVpf
Vũ Cát Tường,2024-03-01,2024-07-18T04:36:15Z,Từng Là,252500,2xOhv7XudrBDtkID1jwsFE,7yquVKfxBuNFJbG9cy2R8A
Phương Ly,2023-10-05,2024-07-18T04:36:15Z,Anh Là Ngoại Lệ Của Em,188108,6KgZf5gZgF1KLNxq1qZgHP,5Kh0ta0UY4uJ4g2CIdq9V9
SUNI Hạ Linh,2022-07-24,2024-07-18T04:36:15Z,có hẹn với thanh xuân,222000,2qWP5ZarXRsdmxzz3L3BtP,4x1fUORHa2EsxrQ6ZzAoQ0
Lou Hoàng,2024-06-13,2024-07-18T04:36:15Z,Ngày Đẹp Trời Để Nói Chia Tay,220223,3Alwi53Ahc2GwHgvel42b2,75Ki5hBCOpDtKGoFyTvLxP
Kai Đinh,2023-12-18,2024-07-18T04:36:15Z,Trái đất ôm Mặt trời,194703,4NTanSVXBkQ2NmDEbr2vLE,3E6LGptA8lBEXPHAQCE3vr
Rhymastic,2024-07-09,2024-07-18T04:36:15Z,Lặng,139264,6f7M5UzYYeLFCMIBQhxk2J,0gGd4WhPXBSgDX6fdOHcOw
Wren Evans,2023-10-25,2024-07-18T04:36:15Z,Từng Quen,174545,3un8UkiPHJjlsrTHQnisXH,5M3ffmRiOX9Q8Y4jNeR5wu
Vũ.,2023-12-14,2024-07-18T04:36:15Z,Những Lời Hứa Bỏ Quên,236262,1bG6Q8sR8jda7ryI365y8o,57g2v7gJZepcwsuwssIfZs
Wren Evans,2024-06-13,2024-07-18T04:36:15Z,Để Ý,159164,4oGgxjxVOI69h9uOpHOzwn,5M3ffmRiOX9Q8Y4jNeR5wu
Sơn Tùng M-TP,2024-03-08,2024-07-18T04:36:15Z,Chúng Ta Của Tương Lai,249871,3qhYidu0cemx1v9PgTtpS5,5dfZ5uSmzR7VQK0udbAVpf
Obito,2023-10-10,2024-07-18T04:36:15Z,Hà Nội (ft. VSTRA),165555,0SLhB9JLM4Ksz1XdwK3aQD,0ZbgKh0FgPYeFP38nVaEGp
Emcee L (Da LAB),2021-12-01,2024-07-18T04:36:15Z,Chuyện Đôi Ta (feat. Muộii),208048,4CUvVaAYuXtvYURLFz7EIL,4bPYvyUn1mWwUwIW57oST2
Vũ.,2024-03-14,2024-07-18T04:36:15Z,Dành Hết Xuân Thì Để Chờ Nhau,288380,2ddbldKhKrYvOBbYa87cbj,57g2v7gJZepcwsuwssIfZs
VSOUL,2023-12-25,2024-07-18T04:36:15Z,"Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)",291750,1khMN4Adfi3LrZvxOq4YM5,22MX8BG5870DGzpNricY7q
Vũ Phụng Tiên,2023-09-20,2024-07-18T04:36:15Z,Lệ Lưu Ly,200842,2JuHIbFudHwDqQssgqsH3i,70ULEgr5A3zBL12foM4bnj
Văn Mai Hương,2022-06-23,2024-07-18T04:36:15Z,Một Ngàn Nỗi Đau,321904,05X3a0YGmS1rbH50aL8lGF,63SNH9m8M034lCGELVC1dm
Bích Phương,2024-03-08,2024-07-18T04:36:15Z,Nâng Chén Tiêu Sầu,185277,4PCh6DAkUYKnEmvjV4ouOs,5fa13NJjmn2uQ3dxZDi2Ge
SOOBIN,2024-04-10,2024-07-18T04:36:15Z,giá như,223200,1LxaXT8hwdBWSNpOqTjF8R,6CGGvCBHWqQ4HXtn5aLhbh
RHYDER,2023-11-22,2024-07-18T04:36:15Z,Chịu Cách Mình Nói Thua,181558,3ZbZtdEw9U0uZW4tZItIwq,1W2pigH6UYwuTuFbwoSfVZ
Kha,2023-12-14,2024-07-18T04:36:15Z,Hư không,354782,3A9A7mfVDVm3rrS9SMGhg5,6tWaQSIL7reD85PKStNk28
WEAN,2023-10-07,2024-07-18T04:36:15Z,shhhhhhh..,230675,4jWmhzf53Q0ZvZMuGdiR9x,30eFAXoU2kTjJPf2cq80B8
Kuun Đức Nam,2023-06-10,2024-07-18T04:36:15Z,Tình cờ yêu em,258471,0gzpqwLf1jhNjnSJEyweAX,05xxXziuRhVsmlSjTD4Soh
RPT MCK,2022-02-24,2024-07-18T04:36:15Z,Chìm Sâu,156000,4ih9noxBfg7euMjCPO0qNH,1zSv9qZANOWB4HRE8sxeTL
MONO,2023-11-30,2024-07-18T04:36:15Z,Em Xinh,183236,6IHLOkgZftkcqS3fM0jMCT,5jTFNkoZebPnX90CbB3F2A
Sabrina Carpenter,2024-04-12,2024-07-18T04:36:15Z,Espresso,175459,2qSkIjg1o9h3YT9RAgYN75,74KM79TiuVKeVCqs8QtB0B
tlinh,2023-03-02,2024-07-18T04:36:15Z,nếu lúc đó,264000,7wj9sGlHGTMQ28liyi48hz,3diftVOq7aEIebXKkC34oR
Minh Huy,2022-06-24,2024-07-18T04:36:15Z,Miên Man,197998,7tFwBnuaGXqiiONukPRaCo,5zT1Ku9mzzl6RW5y4z0hUK
GREY D,2022-06-20,2024-07-18T04:36:15Z,vaicaunoicokhiennguoithaydoi,225862,25h0TqC9H3BcMA7KjK5nHK,6d0dLenjy5CnR5ZMn2agiV
Madihu,2022-08-04,2024-07-18T04:36:15Z,Vì Anh Đâu Có Biết,241919,6VXVYATpQXEIoZ97NnWCmn,1OIYKbmhG0RxPXvVPNj3NN
Da LAB,2021-07-14,2024-07-18T04:36:15Z,Thức Giấc,269021,1MiJk3dXC5jzhvLFP0dUM7,6zUWZmyi5MLOEynQ5wCI5f
Wren Evans,2023-12-17,2024-07-18T04:36:15Z,Tò Te Tí,195000,0X28PqBpbQhWdi4usYw0w5,5M3ffmRiOX9Q8Y4jNeR5wu
ILLIT,2024-03-25,2024-07-18T04:36:15Z,Magnetic,160688,1aKvZDoLGkNMxoRYgkckZG,36cgvBn0aadzOijnjjwqMN
Emcee L (Da LAB),2018-03-01,2024-07-18T04:36:15Z,Sinh Ra Đã Là Thứ Đối Lập Nhau,234168,6IAqflHsPVm4EpYghXauX7,4bPYvyUn1mWwUwIW57oST2
Karik,2023-10-04,2024-07-18T04:36:15Z,Bạn Đời,300718,0kHgteR4TV4LO80wrasDSR,2Bwp23pD4UVsSkchHDZw4F
O.lew,2023-01-02,2024-07-18T04:36:15Z,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,278732,3a2Oftcs10wtzw6AmxuTMU,4APrfmUo8KRrjCVuyoKvwY
Đức Phúc,2022-02-11,2024-07-18T04:36:15Z,Ngày Đầu Tiên,208939,5Msoarj5hk9LguTtiIyqug,5FWPIKz9czXWaiNtw45KQs
Wren Evans,2023-08-15,2024-07-18T04:36:15Z,Call Me,214736,08GUMwJRpisuxHGyRzoSuu,5M3ffmRiOX9Q8Y4jNeR5wu
GREY D,2023-04-24,2024-07-18T04:36:15Z,đưa em về nhàa,240000,08ULi904W2Po6pVj8nN7KC,6d0dLenjy5CnR5ZMn2agiV
Da LAB,2022-06-30,2024-07-18T04:36:15Z,Chạy Khỏi Thế Giới Này,255429,5ECHJ1llWBNYLVCYrllD3x,6zUWZmyi5MLOEynQ5wCI5f
HIEUTHUHAI,2022-12-15,2024-07-18T04:36:15Z,ngủ một mình (tình rất tình),192000,76dD9BdSOzsRJSGGBjOcUf,5HZtdKfC4xU0wvhEyYDWiY
RPT MCK,2023-03-02,2024-07-18T04:36:15Z,Anh Đã Ổn Hơn,194005,3YctJXK6kznnWl68TnYobN,1zSv9qZANOWB4HRE8sxeTL
HIEUTHUHAI,2023-10-16,2024-07-18T04:36:15Z,NOLOVENOLIFE,170898,4X2vrRE8Pi5hBMbWRjofAU,5HZtdKfC4xU0wvhEyYDWiY
14 Casper,2020,2024-07-18T04:36:15Z,bao tiền một mớ bình yên?,300000,3wn8HJNjkY4wzTBy35ZvQ6,0zo8kCJVktn7oPnzpkbC2p
Wren Evans,2023-12-17,2024-07-18T04:36:15Z,bé ơi từ từ,200727,0tGmDUHDoT8pxYhgAT3yNG,5M3ffmRiOX9Q8Y4jNeR5wu
52Hz,2023-12-15,2024-07-18T04:36:15Z,ĐỢI (Prod. RIO),197000,5C1O3fpMsiisJpHiB1uuDf,1y28JlO6rDMUB5rkcA4RAh
GREY D,2022-11-22,2024-07-18T04:36:15Z,dự báo thời tiết hôm nay mưa,281493,7bFFUPBiF15n8m8RziqS4o,6d0dLenjy5CnR5ZMn2agiV
Binz,2023-10-19,2024-07-18T04:36:15Z,Hit Me Up (feat. Nomovodka),268200,4acXEYw7ayyJnm9GXDrqiL,2nSO7JYDbJrYbJmP39qUzj
The Weeknd,2024-02-09,2024-07-18T04:36:15Z,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,1VNWdmXSbaNrnWod10WIL0,1Xyo4u8uXC1ZmMpatF05PJ
thủy,2022-10-06,2024-07-18T04:36:15Z,girls like me don't cry,213640,2DtUUBwYwEzKMTMDrc5EiO,3R80OE4RViOWbnuvqh0j8a
Leah Marie Perez,2020-10-21,2024-07-18T04:36:15Z,Nothin' on Me,217500,6XRcOMGLBYVWYbMHE70nK2,05gnMS4p9RKXH3uS5q9qfP
Dept,2022-09-18,2024-07-18T04:36:15Z,Van Gogh (feat. Ashley Alisha),192186,4nkRb1iWHIjvpVcWtCPzuY,48JtfAggQQpfUXQNxkGm5U
