artist,release_date,added_at,track_name,duration_ms,track_id,artist_id
Rhymastic,2024-07-09,2024-07-31T00:44:59Z,Lặng,139264,6f7M5UzYYeLFCMIBQhxk2J,0gGd4WhPXBSgDX6fdOHcOw
Lou Hoàng,2024-06-13,2024-07-31T00:44:59Z,Ngày Đẹp Trời Để Nói Chia Tay,220223,3Alwi53Ahc2GwHgvel42b2,75Ki5hBCOpDtKGoFyTvLxP
Shiki,2024-06-27,2024-07-31T00:44:59Z,1000 Ánh Mắt,152000,5XfGQZA0ioQAWUjlyJRcHc,3hRnvEdu1iPyB6EzMBbuZq
HIEUTHUHAI,2023-10-16,2024-07-31T00:44:59Z,Exit Sign,201589,3UX7FjJDl6RodnWekzFwEB,5HZtdKfC4xU0wvhEyYDWiY
Cường Seven,2024-07-27,2024-07-31T00:44:59Z,Trống Cơm,254119,69CA72t8PPWgEFExXhuqII,6uPQqRyJMiXn3lHCh0oJIt
Myra Trần,2023-01-04,2024-07-31T00:44:59Z,Anh Chưa Thương Em Đến Vậy Đâu,270643,3QD2NfLEIvMRbzv2uTu4B7,0Y9KzsdFByEI4bigKF1htd
SOOBIN,2024-04-10,2024-07-31T00:44:59Z,giá như,223200,1LxaXT8hwdBWSNpOqTjF8R,6CGGvCBHWqQ4HXtn5aLhbh
Khiem,2024-06-23,2024-07-31T00:44:59Z,Yên Bình Có Quá Đắt Không,248318,0A0oqleZkyD8FN6aW48Jzn,2xyEAgqFAAy5yqRZ7mHd9c
Vũ Cát Tường,2016-01-01,2024-07-31T00:44:59Z,Mơ,262191,2a5hng9yXtbjtTVVm9UviC,7yquVKfxBuNFJbG9cy2R8A
Sơn Tùng M-TP,2024-06-08,2024-07-31T00:44:59Z,Đừng Làm Trái Tim Anh Đau,279208,31VNCmwspR7nVJ6kruUuJt,5dfZ5uSmzR7VQK0udbAVpf
CoolKid,2023-07-28,2024-07-31T00:44:59Z,Sau Cơn Mưa,154756,4fj4Jn4nw8fGX8xdbCntJf,1Qia4CTwh6x0CZbD0079zi
Wren Evans,2024-06-13,2024-07-31T00:44:59Z,Để Ý,159164,4oGgxjxVOI69h9uOpHOzwn,5M3ffmRiOX9Q8Y4jNeR5wu
SOOBIN,2024-06-25,2024-07-31T00:44:59Z,Ai Mà Biết Được (feat. tlinh),240000,7yfcQynap4xcNqnydaFw83,6CGGvCBHWqQ4HXtn5aLhbh
Đức Phúc,2024-06-20,2024-07-31T00:44:59Z,Ngày Đầu Sau Chia Tay,276016,6xKs4CnVadRzdNZ48vhT27,5FWPIKz9czXWaiNtw45KQs
JustaTee,2022-05-10,2024-07-31T00:44:59Z,2AM,258281,3DLtPObflLQBodZN8qGODT,3rjcQ5VIWCN4q7UFetzdeO
Kai Đinh,2024-06-25,2024-07-31T00:44:59Z,điều vô tri nhất,229894,3NvH1v6NOxlawEoCXjg9sK,3E6LGptA8lBEXPHAQCE3vr
Sơn Tùng M-TP,2020-12-20,2024-07-31T00:44:59Z,Chúng Ta Của Hiện Tại,301538,1J3SmWwlYAG68LGKr86MVH,5dfZ5uSmzR7VQK0udbAVpf
The Masked Singer,2023-11-12,2024-07-31T00:44:59Z,Rồi Em Sẽ Gặp Một Chàng Trai Khác (feat. HippoHappy),303968,3K7RddI2L8Wiv7uIbrhfLc,1dwfi5uS5pfQMhAic73Q7L
We Are The Night,2015-04-29,2024-07-31T00:44:59Z,Tiramisu Cake,190373,2LNe50dfsa7WaFa7LprfQg,5UT1mOF7JAjcc7e3wen8vw
